PassengerID,DepartureDateID,AirportID,PilotID,FlightStatusID
1,1,1,1,1
2,2,2,2,1
3,3,3,3,1
4,4,4,4,2
5,5,5,5,1
6,6,6,6,1
7,7,7,7,3
8,8,8,8,3
9,9,9,9,1
10,10,10,10,1
11,11,11,11,3
12,12,12,12,2
13,13,13,13,2
14,14,14,14,2
15,15,15,15,2
16,16,16,16,3
17,17,17,17,1
18,18,18,18,2
19,19,19,19,3
20,20,20,20,3
21,21,21,21,2
22,22,22,22,3
23,23,23,23,1
24,24,24,24,2
25,25,25,25,3
26,21,26,26,1
27,26,27,27,2
28,27,28,28,2
29,28,29,29,2
30,29,30,30,2
31,30,31,31,2
32,31,32,32,3
33,32,33,33,3
34,17,34,34,2
35,33,35,35,2
36,34,36,36,1
37,30,37,37,2
38,35,38,38,3
39,36,39,39,1
40,37,40,40,2
41,38,41,41,1
42,39,42,42,1
43,40,43,43,2
44,41,44,44,3
45,42,45,45,1
46,43,46,46,1
47,44,47,47,2
48,45,48,48,1
49,46,49,49,2
50,47,50,50,1
51,48,51,51,3
52,49,52,52,3
53,50,53,53,1
54,33,54,54,2
55,51,55,55,1
56,52,56,56,2
57,53,57,57,3
58,54,58,58,2
59,55,59,59,3
60,56,60,60,1
61,57,61,61,3
62,58,62,62,1
63,59,63,63,2
64,14,64,64,3
65,60,65,65,3
66,61,66,66,1
67,62,67,67,3
68,63,68,68,3
69,64,69,69,1
70,30,70,70,2
71,65,71,71,2
72,66,72,72,2
73,67,73,73,1
74,68,74,74,3
75,28,75,75,3
76,69,76,76,3
77,70,77,77,1
78,71,78,78,3
79,72,79,79,3
80,57,80,80,1
81,73,81,81,1
82,74,61,82,1
83,12,82,83,1
84,75,83,84,1
85,76,84,85,3
86,77,85,86,3
87,76,86,87,1
88,19,87,88,2
89,78,88,89,1
90,79,89,90,2
91,80,90,91,3
92,81,91,92,2
93,82,92,93,1
94,53,93,94,3
95,83,94,95,2
96,84,95,96,1
97,85,96,97,3
98,86,97,98,2
99,61,98,99,3
100,55,99,100,1
101,76,100,101,2
102,87,101,102,1
103,88,102,103,3
104,89,103,104,3
105,90,104,105,3
106,91,105,106,1
107,92,106,107,2
108,63,107,108,3
109,93,108,109,3
110,94,109,110,2
111,95,110,111,1
112,96,111,112,2
113,97,112,113,2
114,98,113,114,1
115,99,114,115,1
116,100,115,116,2
117,101,116,117,1
118,102,117,118,3
119,103,118,119,2
120,104,119,120,3
121,105,120,121,3
122,27,121,122,3
123,78,122,123,3
124,98,123,124,3
125,106,124,125,2
126,107,125,126,1
127,108,126,127,1
128,109,127,128,2
129,110,128,129,2
130,111,129,130,3
131,112,130,131,2
132,113,131,132,3
133,114,132,133,3
134,26,73,134,3
135,66,134,135,2
136,115,135,136,1
137,116,136,137,1
138,117,137,138,2
139,118,138,139,1
140,119,139,140,3
141,120,140,141,3
142,112,141,142,1
143,121,142,143,1
144,79,143,144,1
145,4,144,145,1
146,91,145,146,2
147,122,146,147,2
148,60,147,148,2
149,49,148,149,1
150,53,149,150,1
151,123,150,151,2
152,124,151,152,1
153,125,152,153,3
154,126,153,154,3
155,127,154,155,3
156,128,155,156,3
157,129,156,157,1
158,130,157,158,2
159,131,158,159,1
160,132,159,160,2
161,38,160,161,1
162,133,161,162,2
163,134,162,163,3
164,135,163,164,3
165,136,164,165,1
166,137,165,166,1
167,138,166,167,3
168,139,167,168,2
169,140,168,169,3
170,141,169,170,3
171,142,170,171,3
172,96,171,172,1
173,6,172,173,1
174,143,173,174,3
175,144,174,175,3
176,145,175,176,2
177,146,176,177,1
178,147,177,178,2
179,148,178,179,3
180,98,179,180,1
181,71,180,181,2
182,149,181,182,2
183,150,182,183,3
184,151,183,184,1
185,149,184,185,3
186,152,185,186,1
187,153,186,187,1
188,72,187,188,2
189,154,188,189,3
190,155,189,190,1
191,122,190,191,2
192,156,191,192,3
193,157,192,193,1
194,29,193,194,3
195,105,194,195,3
196,106,195,196,2
197,104,196,197,1
198,158,197,198,3
199,159,198,199,1
200,160,199,200,1
201,161,200,201,1
202,162,201,202,1
203,132,202,203,1
204,163,203,204,2
205,69,204,205,1
206,164,205,206,1
207,165,206,207,2
208,136,25,208,3
209,166,207,209,1
210,21,208,210,1
211,107,209,211,2
212,153,210,212,2
213,72,211,213,3
214,46,212,214,1
215,113,213,215,1
216,167,214,216,3
217,168,215,217,3
218,105,216,218,1
219,169,217,219,2
220,98,218,220,3
221,14,219,221,3
222,77,220,222,1
223,164,221,223,1
224,97,222,224,2
225,170,223,225,2
226,171,224,226,1
227,172,225,227,1
228,173,226,228,2
229,174,227,229,1
230,128,228,230,3
231,147,229,231,1
